City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Hermanus,ZA,55.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Vaini,TO,74.21,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Hobart,AU,52.27,light rain,-42.8794,147.3294,Mantra on Collins Hobart
5,Port Elizabeth,ZA,47.1,clear sky,-33.918,25.5701,39 On Nile Guest House
9,Puerto Ayora,EC,69.89,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Cidreira,BR,60.87,scattered clouds,-30.1811,-50.2056,Hotel Castelo
12,Dawei,MM,73.56,overcast clouds,14.0833,98.2,Hotel Dawei
16,San Cristobal,VE,68.2,broken clouds,7.7669,-72.225,Posada Villaven C.A.
21,Busselton,AU,60.04,overcast clouds,-33.65,115.3333,Observatory Guest House
22,East London,ZA,57.72,broken clouds,-33.0153,27.9116,Tu Casa
24,Aripuana,BR,73.15,broken clouds,-9.1667,-60.6333,
25,Bredasdorp,ZA,49.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
28,Albany,US,46.35,scattered clouds,42.6001,-73.9662,
29,Burnie,AU,59.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
30,Rio Gallegos,AR,48.78,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
31,Lompoc,US,67.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Tadine,NC,72.45,moderate rain,-21.55,167.8833,
37,Cape Town,ZA,59.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Salisbury,GB,62.65,overcast clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
40,Santa Fe,AR,67.75,clear sky,-31.6333,-60.7,Conquistador Hotel
41,Ribeira Grande,PT,68.94,few clouds,38.5167,-28.7,Quinta da Meia Eira
42,Bluff,NZ,49.68,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
44,Codrington,AU,54.93,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
45,Carnarvon,AU,64.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
46,Guerrero Negro,MX,67.19,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
47,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
49,Mataura,NZ,48.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
51,Punta Arenas,CL,48.31,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
52,Nyaunglebin,MM,74.34,overcast clouds,17.95,96.7333,Royal Motel
53,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
54,Kasama,ZM,67.26,broken clouds,-10.2129,31.1808,Kalebalika Cottages
57,Torbay,CA,46.27,overcast clouds,47.6666,-52.7314,Gallows Cove
58,Dombarovskiy,RU,46.54,overcast clouds,50.7587,59.5386,
59,Kodiak,US,45.91,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
60,Sonipat,IN,69.8,clear sky,28.9833,77.0167,Subhash Guest House
61,Arraial Do Cabo,BR,69.17,light rain,-22.9661,-42.0278,Pousada Porto Praia
62,Garden City,US,57.45,clear sky,42.3256,-83.331,Quality Inn & Suites Banquet Center
64,Constitucion,CL,56.98,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
66,Esperance,AU,72.88,light rain,-33.8667,121.9,Hospitality Esperance
67,Bambous Virieux,MU,73.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
