City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-10-15 03:53:52,38.5167,-28.7,70.43,81,59,11.41
1,Castro,BR,2021-10-15 03:53:52,-24.7911,-50.0119,59.85,95,5,4.79
2,Adrar,MR,2021-10-15 03:53:53,20.5022,-10.0711,79.11,19,7,11.27
3,Puerto Ayora,EC,2021-10-15 03:53:53,-0.7393,-90.3518,68.76,83,39,9.89
4,Ponta Do Sol,PT,2021-10-15 03:53:54,32.6667,-17.1,68.72,74,6,2.24
5,Macusani,PE,2021-10-15 03:53:54,-14.0833,-70.4333,36.82,92,100,4.63
6,Bluff,NZ,2021-10-15 03:53:55,-46.6,168.3333,50.94,65,54,17.6
7,Chingirlau,KZ,2021-10-15 03:53:55,51.095,54.0814,46.69,35,82,11.34
8,Rio Grande,BR,2021-10-15 03:50:27,-32.035,-52.0986,64.94,95,100,8.59
9,Cabo San Lucas,MX,2021-10-15 03:50:12,22.8909,-109.9124,80.51,77,40,9.22
10,Bethel,US,2021-10-15 03:53:56,41.3712,-73.414,64.56,91,63,4.03
11,Soyo,AO,2021-10-15 03:53:56,-6.1349,12.3689,75.61,84,39,6.24
12,Iqaluit,CA,2021-10-15 03:53:57,63.7506,-68.5145,28.13,74,40,5.01
13,Atuona,PF,2021-10-15 03:53:58,-9.8,-139.0333,78.22,76,18,18.48
14,Hithadhoo,MV,2021-10-15 03:53:59,-0.6,73.0833,83.48,78,87,21.77
15,Coquimbo,CL,2021-10-15 03:53:59,-29.9533,-71.3436,55.13,66,0,3.44
16,Kortkeros,RU,2021-10-15 03:53:59,61.8106,51.5806,41.0,69,100,7.05
17,Sao Filipe,CV,2021-10-15 03:54:00,14.8961,-24.4956,77.76,75,86,8.41
18,Rawson,AR,2021-10-15 03:50:58,-43.3002,-65.1023,51.75,33,66,20.09
19,Trebukhiv,UA,2021-10-15 03:54:01,50.4843,30.903,38.91,100,20,6.71
20,Faya,SA,2021-10-15 03:54:01,18.3851,42.4509,57.72,25,0,3.94
21,Mataura,NZ,2021-10-15 03:54:02,-46.1927,168.8643,54.91,55,42,7.99
22,Lorengau,PG,2021-10-15 03:54:02,-2.0226,147.2712,86.52,66,31,8.41
23,Vanavara,RU,2021-10-15 03:49:05,60.34,102.2797,26.73,50,100,11.97
24,Hilo,US,2021-10-15 03:49:31,19.7297,-155.09,78.53,83,90,5.75
25,Auki,SB,2021-10-15 03:54:03,-8.7676,160.7034,82.33,78,100,3.33
26,Sligo,IE,2021-10-15 03:54:04,54.2697,-8.4694,45.28,79,6,2.93
27,Dikson,RU,2021-10-15 03:54:04,73.5069,80.5464,32.29,99,100,5.64
28,Hobart,AU,2021-10-15 03:53:14,-42.8794,147.3294,67.12,96,75,1.01
